"GEO_ID","NAME","B25077_001E","B25077_001M","B25077_001MA","B25077_001EA",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","Annotation of Margin of Error!!Median value (dollars)","Annotation of Estimate!!Median value (dollars)",
"1600000US0653714","Olivehurst CDP, California","258700","12467","null","null",
"1600000US0653882","Ono CDP, California","385700","191814","null","null",
"1600000US0653896","Ontario city, California","438300","5310","null","null",
"1600000US0653910","Onyx CDP, California","-","**","**","-",
"1600000US0653980","Orange city, California","712500","11616","null","null",
"1600000US0653987","Orange Blossom CDP, California","594500","62030","null","null",
"1600000US0654008","Orange Cove city, California","191300","41186","null","null",
"1600000US0654092","Orangevale CDP, California","409100","14241","null","null",
"1600000US0654120","Orcutt CDP, California","464500","8822","null","null",
"1600000US0654218","Orick CDP, California","335700","56323","null","null",
"1600000US0654232","Orinda city, California","1538400","51581","null","null",
"1600000US0654274","Orland city, California","225200","27236","null","null",
"1600000US0654372","Orosi CDP, California","165100","18923","null","null",
"1600000US0654386","Oroville city, California","216800","21774","null","null",
"1600000US0654388","Oroville East CDP, California","300300","33790","null","null",
"1600000US0654652","Oxnard city, California","496100","6727","null","null",
"1600000US0654764","Pacheco CDP, California","192400","103211","null","null",
"1600000US0654806","Pacifica city, California","1012200","25032","null","null",
"1600000US0654848","Pacific Grove city, California","929200","28159","null","null",
"1600000US0655044","Pajaro CDP, California","416100","76366","null","null",
"1600000US0655048","Pajaro Dunes CDP, California","1234400","962064","null","null",
"1600000US0655058","Pala CDP, California","172500","93313","null","null",
"1600000US0655086","Palermo CDP, California","222200","31684","null","null",
"1600000US0655156","Palmdale city, California","332400","4186","null","null",
"1600000US0655184","Palm Desert city, California","381700","10776","null","null",
"1600000US0655254","Palm Springs city, California","423200","17625","null","null",
"1600000US0655282","Palo Alto city, California","2,000,000+","***","***","2,000,000+",
"1600000US0655296","Palo Cedro CDP, California","454500","57412","null","null",
"1600000US0655380","Palos Verdes Estates city, California","2,000,000+","***","***","2,000,000+",
"1600000US0655422","Palo Verde CDP, California","-","**","**","-",
"1600000US0655506","Panorama Heights CDP, California","-","**","**","-",
"1600000US0655520","Paradise town, California","287400","34835","null","null",
"1600000US0655528","Paradise CDP, California","663500","127619","null","null",
"1600000US0655604","Paradise Park CDP, California","397500","217038","null","null",
"1600000US0655618","Paramount city, California","412300","17277","null","null",
"1600000US0655728","Parklawn CDP, California","-","**","**","-",
"1600000US0655751","Parksdale CDP, California","242100","21822","null","null",
"1600000US0655800","Parkway CDP, California","290000","16429","null","null",
"1600000US0655842","Parkwood CDP, California","176900","57980","null","null",
"1600000US0655856","Parlier city, California","183000","10287","null","null",
"1600000US0656000","Pasadena city, California","863100","17639","null","null",
"1600000US0656028","Pasatiempo CDP, California","1195100","140935","null","null",
"1600000US0656042","Paskenta CDP, California","-","**","**","-",
"1600000US0656112","Patterson city, California","350300","16592","null","null",
"1600000US0656120","Patterson Tract CDP, California","305300","148617","null","null",
"1600000US0656140","Patton Village CDP, California","-","**","**","-",
"1600000US0656182","Paxton CDP, California","-","**","**","-",
"1600000US0656196","Paynes Creek CDP, California","189700","32109","null","null",
"1600000US0656294","Pearsonville CDP, California","-","**","**","-",
"1600000US0656476","Penngrove CDP, California","912800","57611","null","null",
"1600000US0656518","Penn Valley CDP, California","-","**","**","-",
"1600000US0656546","Penryn CDP, California","685100","181145","null","null",
"1600000US0656598","Pepperdine University CDP, California","644500","47763","null","null",
"1600000US0656700","Perris city, California","333900","6818","null","null",
"1600000US0656756","Pescadero CDP, California","-","**","**","-",
"1600000US0656784","Petaluma city, California","697700","12451","null","null",
"1600000US0656786","Petaluma Center CDP, California","-","**","**","-",
"1600000US0656798","Peters CDP, California","468500","186733","null","null",
"1600000US0656826","Phelan CDP, California","276100","24791","null","null",
"1600000US0656854","Phillipsville CDP, California","-","**","**","-",
"1600000US0656868","Philo CDP, California","-","**","**","-",
"1600000US0656870","Phoenix Lake CDP, California","407000","53581","null","null",
"1600000US0656924","Pico Rivera city, California","490300","8835","null","null",
"1600000US0656938","Piedmont city, California","2,000,000+","***","***","2,000,000+",
"1600000US0657011","Pierpoint CDP, California","-","**","**","-",
"1600000US0657036","Pike CDP, California","1090300","508090","null","null",
"1600000US0657070","Pine Canyon CDP, California","345800","20282","null","null",
"1600000US0657134","Pine Flat CDP, California","197200","60539","null","null",
"1600000US0657148","Pine Grove CDP, California","324100","50825","null","null",
"1600000US0657204","Pine Hills CDP, California","344500","18661","null","null",
"1600000US0657240","Pine Mountain Club CDP, California","285200","21454","null","null",
"1600000US0657244","Pine Mountain Lake CDP, California","332700","43864","null","null",
"1600000US0657260","Pine Valley CDP, California","515300","73791","null","null",
"1600000US0657288","Pinole city, California","590900","21260","null","null",
"1600000US0657302","Piñon Hills CDP, California","288200","24382","null","null",
"1600000US0657330","Pioneer CDP, California","272700","43073","null","null",
"1600000US0657372","Piru CDP, California","391000","36575","null","null",
"1600000US0657414","Pismo Beach city, California","771400","67699","null","null",
"1600000US0657456","Pittsburg city, California","456300","8657","null","null",
"1600000US0657512","Pixley CDP, California","154800","17211","null","null",
"1600000US0657526","Placentia city, California","697900","18127","null","null",
"1600000US0657540","Placerville city, California","385200","24253","null","null",
"1600000US0657568","Plainview CDP, California","76800","43977","null","null",
"1600000US0657582","Planada CDP, California","183900","27749","null","null",
"1600000US0657666","Platina CDP, California","-","**","**","-",
"1600000US0657764","Pleasant Hill city, California","828400","21095","null","null",
"1600000US0657792","Pleasanton city, California","1116800","18293","null","null",
"1600000US0657825","Pleasure Point CDP, California","906300","230916","null","null",
"1600000US0657828","Plumas Eureka CDP, California","411500","51312","null","null",
"1600000US0657829","Plumas Lake CDP, California","378900","17132","null","null",
"1600000US0657834","Plymouth city, California","283200","17959","null","null",
"1600000US0657876","Point Arena city, California","346300","28794","null","null",
"1600000US0657960","Point Reyes Station CDP, California","1271700","601307","null","null",
"1600000US0658030","Pollock Pines CDP, California","312700","23041","null","null",
"1600000US0658072","Pomona city, California","446300","6770","null","null",
"1600000US0658134","Ponderosa CDP, California","-","**","**","-",
"1600000US0658191","Poplar-Cotton Center CDP, California","130000","65951","null","null",
"1600000US0658226","Port Costa CDP, California","586300","380697","null","null",
"1600000US0658240","Porterville city, California","208400","10828","null","null",
"1600000US0658296","Port Hueneme city, California","447100","10266","null","null",
"1600000US0658352","Portola city, California","180300","34367","null","null",
"1600000US0658380","Portola Valley town, California","2,000,000+","***","***","2,000,000+",
"1600000US0658422","Posey CDP, California","-","**","**","-",
"1600000US0658436","Poso Park CDP, California","-","**","**","-",
"1600000US0658456","Post Mountain CDP, California","-","**","**","-",
"1600000US0658471","Potomac Park CDP, California","141800","18107","null","null",
"1600000US0658478","Potrero CDP, California","-","**","**","-",
"1600000US0658506","Potter Valley CDP, California","468600","77520","null","null",
"1600000US0658520","Poway city, California","766700","24901","null","null",
"1600000US0658618","Prattville CDP, California","736100","678846","null","null",
"1600000US0658758","Princeton CDP, California","362500","202898","null","null",
"1600000US0658814","Proberta CDP, California","127500","23819","null","null",
"1600000US0658870","Prunedale CDP, California","594800","25690","null","null",
"1600000US0658940","Pumpkin Center CDP, California","-","**","**","-",
"1600000US0659052","Quartz Hill CDP, California","355400","10309","null","null",
"1600000US0659080","Quincy CDP, California","292600","105800","null","null",
"1600000US0659115","Rackerby CDP, California","304200","65991","null","null",
"1600000US0659220","Rail Road Flat CDP, California","336500","146238","null","null",
"1600000US0659248","Rainbow CDP, California","556500","56766","null","null",
"1600000US0659290","Raisin City CDP, California","155900","146990","null","null",
"1600000US0659346","Ramona CDP, California","573800","32605","null","null",
"1600000US0659426","Rancho Calaveras CDP, California","337600","15204","null","null",
"1600000US0659444","Rancho Cordova city, California","356600","5966","null","null",
"1600000US0659451","Rancho Cucamonga city, California","551700","11162","null","null",
"1600000US0659500","Rancho Mirage city, California","570400","30587","null","null",
"1600000US0659503","Rancho Mission Viejo CDP, California","818300","35712","null","null",
"1600000US0659506","Rancho Murieta CDP, California","546500","34888","null","null",
"1600000US0659514","Rancho Palos Verdes city, California","1247600","38489","null","null",
"1600000US0659550","Rancho San Diego CDP, California","666200","27782","null","null",
"1600000US0659584","Rancho Santa Fe CDP, California","2,000,000+","***","***","2,000,000+",
"1600000US0659587","Rancho Santa Margarita city, California","719800","23540","null","null",
"1600000US0659604","Rancho Tehama Reserve CDP, California","95000","89276","null","null",
"1600000US0659668","Randsburg CDP, California","10,000-","***","***","10,000-",
"1600000US0659892","Red Bluff city, California","213200","14482","null","null",
"1600000US0659896","Red Corral CDP, California","334300","47173","null","null",
"1600000US0659906","Redcrest CDP, California","-","**","**","-",
"1600000US0659920","Redding city, California","292300","6364","null","null",
"1600000US0659962","Redlands city, California","455700","11788","null","null",
"1600000US0660018","Redondo Beach city, California","1026500","31686","null","null",
"1600000US0660088","Redway CDP, California","341200","52496","null","null",
"1600000US0660102","Redwood City city, California","1520300","37656","null","null",
"1600000US0660214","Redwood Valley CDP, California","476600","90566","null","null",
"1600000US0660242","Reedley city, California","227900","11775","null","null",
"1600000US0660279","Reliez Valley CDP, California","1161200","157926","null","null",
"1600000US0660370","Rexland Acres CDP, California","152900","21862","null","null",
"1600000US0660466","Rialto city, California","350000","4153","null","null",
"1600000US0660592","Richfield CDP, California","212500","60413","null","null",
"1600000US0660606","Richgrove CDP, California","127600","17395","null","null",
"1600000US0660620","Richmond city, California","557900","14114","null","null",
"1600000US0660662","Richvale CDP, California","350000","276876","null","null",
"1600000US0660704","Ridgecrest city, California","193700","7485","null","null",
"1600000US0660705","Ridgecrest Heights CDP, California","-","**","**","-",
"1600000US0660706","Ridgemark CDP, California","637100","26242","null","null",
"1600000US0660900","Rio Dell city, California","231600","93597","null","null",
"1600000US0660928","Rio del Mar CDP, California","1017300","74478","null","null",
"1600000US0660942","Rio Linda CDP, California","340100","16091","null","null",
"1600000US0660970","Rio Oso CDP, California","406700","82186","null","null",
"1600000US0660984","Rio Vista city, California","400000","21603","null","null",
"1600000US0661012","Ripley CDP, California","-","**","**","-",
"1600000US0661026","Ripon city, California","519700","33449","null","null",
"1600000US0661068","Riverbank city, California","343300","11935","null","null",
"1600000US0661096","Riverdale CDP, California","189700","30305","null","null",
