"GEO_ID","NAME","B19013_001E","B19013_001EA","B19013_001M","B19013_001MA",
"310M600US25420","Harrisburg-Carlisle, PA Metro Area","71285","null","1047","null",
"310M600US25460","Harrison, AR Micro Area","47989","null","2206","null",
"310M600US25500","Harrisonburg, VA Metro Area","61669","null","2030","null",
"310M600US25540","Hartford-East Hartford-Middletown, CT Metro Area","82359","null","914","null",
"310M600US25580","Hastings, NE Micro Area","57783","null","3633","null",
"310M600US25620","Hattiesburg, MS Metro Area","51454","null","1389","null",
"310M600US25700","Hays, KS Micro Area","54858","null","7056","null",
"310M600US25720","Heber, UT Micro Area","104505","null","3908","null",
"310M600US25740","Helena, MT Micro Area","66862","null","2683","null",
"310M600US25760","Helena-West Helena, AR Micro Area","32235","null","5634","null",
"310M600US25780","Henderson, NC Micro Area","45243","null","5012","null",
"310M600US25820","Hereford, TX Micro Area","49611","null","3405","null",
"310M600US25840","Hermiston-Pendleton, OR Micro Area","62979","null","3118","null",
"310M600US25860","Hickory-Lenoir-Morganton, NC Metro Area","53163","null","1285","null",
"310M600US25880","Hillsdale, MI Micro Area","54110","null","1727","null",
"310M600US25900","Hilo, HI Micro Area","68399","null","1980","null",
"310M600US25940","Hilton Head Island-Bluffton, SC Metro Area","70369","null","2528","null",
"310M600US25980","Hinesville, GA Metro Area","50966","null","2268","null",
"310M600US26020","Hobbs, NM Micro Area","62319","null","3771","null",
"310M600US26090","Holland, MI Micro Area","70269","null","2215","null",
"310M600US26140","Homosassa Springs, FL Metro Area","48664","null","1580","null",
"310M600US26220","Hood River, OR Micro Area","77815","null","6210","null",
"310M600US26260","Hope, AR Micro Area","43171","null","2286","null",
"310M600US26300","Hot Springs, AR Metro Area","49985","null","2983","null",
"310M600US26340","Houghton, MI Micro Area","48906","null","1835","null",
"310M600US26380","Houma-Thibodaux, LA Metro Area","58260","null","2505","null",
"310M600US26420","Houston-The Woodlands-Sugar Land, TX Metro Area","72551","null","578","null",
"310M600US26460","Hudson, NY Micro Area","73065","null","3068","null",
"310M600US26500","Huntingdon, PA Micro Area","57055","null","2479","null",
"310M600US26540","Huntington, IN Micro Area","56705","null","2296","null",
"310M600US26580","Huntington-Ashland, WV-KY-OH Metro Area","50739","null","1129","null",
"310M600US26620","Huntsville, AL Metro Area","71057","null","1672","null",
"310M600US26660","Huntsville, TX Micro Area","44104","null","1820","null",
"310M600US26700","Huron, SD Micro Area","56797","null","3652","null",
"310M600US26740","Hutchinson, KS Micro Area","53359","null","1806","null",
"310M600US26780","Hutchinson, MN Micro Area","67067","null","4052","null",
"310M600US26820","Idaho Falls, ID Metro Area","65307","null","1833","null",
